date, pm25, pm10, o3, no2, so2
2019/7/22, 50, 26, 31, 9, 10
2019/7/23, 51, 28, 40, 10, 9
2019/7/24, 56, 32, 32, 11, 14
2019/7/25, 63, 24, 24, 6, 12
2019/7/26, 48, 32, 22, 8, 5
2019/7/27, 56, 42, 16, 5, 13
2019/7/28, 77, 23, 18, 8, 5
2019/7/29, 51, 25, 20, 8, 8
2019/7/30, 51, 30, 20, 9, 6
2019/7/31, 61, 36, 41, 8, 6
2019/8/1, 73, 50, 58, 11, 15
2019/8/2, 90, 24, 16, 9, 11
2019/8/3, 52, 22, 19, 8, 11
2019/8/4, 46, 22, 22, 7, 6
2019/8/5, 43, 27, 12, 9, 18
2019/8/6, 48, 27, 15, 7, 7
2019/8/7, 46, 24, 13, 6, 7
2019/8/8, 44, 22, 16, 5, 11
2019/8/9, 42, 26, 21, 8, 5
2019/8/10, 48, 29, 19, 7, 10
2019/8/11, 51, 23, 28, 8, 8
2019/8/12, 46, 15, 16, 3, 2
2019/8/13, 29, 14, 13, 4, 2
2019/8/14, 30, 21, 22, 2, 2
2019/8/15, 27, 46, 37, 4, 5
2019/8/16, 60, 39, 45, 10, 6
2019/8/17, 66, 42, 41, 13, 10
2019/8/18, 80, 36, 31, 8, 5
2019/8/19, 68, 25, 19, 4, 7
2019/8/20, 33, 24, 18, 7, 11
2019/8/21, 46, 23, 16, 7, 5
2019/8/22, 52, 30, 16, 8, 4
2019/8/23, 54, 27, 40, 9, 5
2019/8/24, 57, 26, 54, 7, 11
2019/8/25, 62, 23, 48, 6, 6
2019/8/26, 57, 14, 26, 7, 3
2019/8/27, 38, 29, 12, 8, 7
2019/8/28, 42, 34, 12, 4, 10
2019/8/29, 43, 21, 15, 5, 3
2019/8/30, 25, 20, 44, 4, 2
2019/8/31, 55, 31, 54, 5, 3
2019/9/1, 74, 27, 17, 6, 8
2019/9/2, 55, 18, 15, 7, 9
2019/9/3, 39, 17, 16, 6, 13
2019/9/4, 36, 19, 16, 7, 10
2019/9/5, 39, 20, 13, 5, 14
2019/9/6, 41, 18, 11, 5, 3
2019/9/7, 33, 23, 19, 6, 10
2019/9/8, 43, 25, 24, 11, 10
2019/9/9, 52, 24, 28, 10, 7
2019/9/10, 49, 35, 44, 9, 8
2019/9/11, 71, 18, 46, 7, 2
2019/9/12, 38, 18, 24, 9, 3
2019/9/13, 37, 22, 53, 8, 9
